POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Virat Kohli,192,184,30,5878,113,38.16,"4,496",130.73,5,39,503,201
2,Suresh Raina,193,189,28,5368,100*,33.34,"3,914",137.14,1,38,493,194
3,David Warner,142,142,19,5254,126,42.71,"3,712",141.54,4,48,510,195
4,Rohit Sharma,200,195,28,5230,109*,31.31,"4,004",130.61,1,39,458,213
5,Shikhar Dhawan,176,175,24,5197,106*,34.41,"4,096",126.87,2,41,591,108
6,AB de Villiers,169,156,36,4849,133*,40.40,"3,192",151.91,3,38,390,235
7,Chris Gayle,132,131,15,4772,175*,41.13,"3,179",150.11,6,31,384,349
8,MS Dhoni,204,182,69,4632,84*,40.99,"3,387",136.75,0,23,313,216
9,Robin Uthappa,189,182,17,4607,87,27.92,"3,544",129.99,0,24,454,163
10,Gautam Gambhir,154,152,17,4217,93,31.23,"3,404",123.88,0,36,491,59
11,Ajinkya Rahane,149,140,16,3933,105*,31.71,"3,240",121.38,2,28,416,76
12,Shane Watson,145,141,16,3874,117*,30.99,"2,809",137.91,4,21,376,190
13,Dinesh Karthik,196,177,30,3823,97*,26.00,"2,949",129.63,0,19,377,105
14,Ambati Rayudu,159,151,27,3658,100*,29.50,"2,901",126.09,1,19,308,132
15,Manish Pandey,146,135,25,3268,114*,29.70,"2,686",121.66,1,18,288,93
16,Yusuf Pathan,174,154,44,3204,100,29.12,"2,241",142.97,1,13,262,158
17,Kieron Pollard,164,147,46,3023,83,29.93,"2,017",149.87,0,15,196,198
18,Brendon McCullum,109,109,5,2880,158*,27.69,"2,186",131.74,2,13,293,130
19,Parthiv Patel,139,137,11,2848,81,22.60,"2,358",120.78,0,13,365,49
20,Yuvraj Singh,132,126,15,2750,83,24.77,"2,120",129.71,0,13,217,149
21,Virender Sehwag,104,104,5,2728,122,27.55,"1,755",155.44,2,16,334,106
22,KL Rahul,81,72,13,2647,132*,44.86,"1,949",135.81,2,21,234,104
23,Murali Vijay,106,106,5,2619,127,25.93,"2,149",121.87,2,13,247,91
24,Sanju Samson,107,103,10,2584,102*,27.78,"1,932",133.74,2,13,191,115
25,Shaun Marsh,71,69,7,2477,115,39.95,"1,866",132.74,1,20,266,78
26,Jacques Kallis,98,96,11,2427,89*,28.55,"2,222",109.22,0,17,255,44
27,Dwayne Smith,91,89,5,2385,87*,28.39,"1,764",135.20,0,17,245,117
28,Sachin Tendulkar,78,78,11,2334,100*,34.83,"1,948",119.81,1,13,295,29
29,Steve Smith,95,86,20,2333,101,35.34,"1,805",129.25,1,11,212,58
30,Faf du Plessis,84,77,7,2302,96,32.88,"1,781",129.25,0,16,205,73
31,Shreyas Iyer,79,79,9,2200,96,31.42,"1,745",126.07,0,16,189,83
32,Rahul Dravid,89,82,5,2174,75*,28.23,"1,882",115.51,0,11,269,28
33,Ravindra Jadeja,184,139,54,2159,50,25.40,"1,707",126.47,0,1,157,76
34,Rishabh Pant,68,68,9,2079,128*,35.23,"1,368",151.97,1,12,183,103
35,Adam Gilchrist,80,80,4,2069,109*,27.22,"1,495",138.39,2,11,239,92
36,JP Duminy,83,77,26,2029,78*,39.78,"1,636",124.02,0,14,126,79
37,Suryakumar Yadav,101,86,19,2024,79*,30.20,"1,504",134.57,0,11,221,58
38,Aaron Finch,87,85,7,2005,88*,25.70,"1,570",127.70,0,14,204,75
39,Wriddhiman Saha,124,99,22,1979,115*,25.70,"1,499",132.02,1,8,184,64
40,Michael Hussey,59,58,7,1977,116*,38.76,"1,612",122.64,1,15,198,52
41,Quinton de Kock,66,66,4,1959,108,31.59,"1,467",133.53,1,14,201,76
42,David Miller,80,78,23,1850,101*,33.63,"1,333",138.78,1,9,126,87
43,Mahela Jayawardene,80,78,15,1802,110*,28.60,"1,462",123.25,1,10,200,39
44,Jos Buttler,58,57,8,1714,95*,34.97,"1,146",149.56,0,11,167,77
45,Manoj Tiwary,98,85,26,1695,75*,28.72,"1,449",116.97,0,7,156,40
46,Mayank Agarwal,88,83,3,1690,106,21.12,"1,259",134.23,1,7,161,67
47,Kumar Sangakkara,71,68,3,1687,94,25.95,"1,392",121.19,0,10,195,27
48,Mandeep Singh,104,91,16,1659,77*,22.12,"1,335",124.26,0,6,170,37
49,Kane Williamson,53,52,11,1619,89,39.48,"1,201",134.80,0,15,137,54
50,Naman Ojha,113,94,19,1554,94*,20.72,"1,313",118.35,0,6,121,79
51,Andre Russell,74,61,10,1517,88*,29.74,832,182.33,0,8,105,129
52,Glenn Maxwell,82,79,11,1505,95,22.13,973,154.67,0,6,118,91
53,Dwayne Bravo,140,104,38,1490,70*,22.57,"1,162",128.22,0,5,116,61
54,Karun Nair,73,66,5,1480,83*,24.26,"1,153",128.36,0,10,160,39
55,Subramaniam Badrinath,95,67,20,1441,71*,30.65,"1,212",118.89,0,11,154,28
56,Nitish Rana,60,55,4,1437,87,28.17,"1,060",135.56,0,11,127,72
57,Brad Hodge,66,63,21,1400,73,33.33,"1,118",125.22,0,6,122,43
58,Saurabh Tiwary,88,69,19,1379,61,27.58,"1,147",120.22,0,7,101,48
59,Sourav Ganguly,59,56,3,1349,91,25.45,"1,263",106.80,0,7,137,42
60,Hardik Pandya,80,74,29,1349,91,29.97,847,159.26,0,4,86,93
61,David Hussey,64,61,12,1322,71,26.97,"1,075",122.97,0,5,90,60
62,Chris Lynn,41,41,3,1280,93*,33.68,910,140.65,0,10,128,63
63,Eoin Morgan,66,59,9,1272,68*,25.44,"1,007",126.31,0,5,104,58
64,Ishan Kishan,51,46,4,1211,99,28.83,885,136.83,0,7,100,64
65,Tillakaratne Dilshan,52,50,7,1153,76*,26.81,"1,007",114.49,0,9,140,24
66,Kedar Jadhav,87,75,25,1141,69,22.82,919,124.15,0,4,99,38
67,Irfan Pathan,103,82,29,1139,60,21.49,946,120.40,0,1,87,37
68,Matthew Hayden,32,32,2,1107,93,36.90,805,137.51,0,8,121,44
69,Lendl Simmons,29,29,2,1079,100*,39.96,852,126.64,1,11,109,44
70,Ross Taylor,55,54,14,1017,81*,25.42,822,123.72,0,3,66,46
71,Manan Vohra,49,45,2,1012,95,23.53,768,131.77,0,3,97,39
72,Kevin Pietersen,36,36,9,1001,103*,37.07,743,134.72,1,4,91,40
73,Krunal Pandya,71,60,20,1000,86,25.00,702,142.45,0,1,95,40
74,Rahul Tripathi,45,44,5,988,93,25.33,733,134.78,0,5,95,37
75,Venugopal Rao,65,54,10,985,71*,22.38,836,117.82,0,3,77,37
76,Albie Morkel,91,68,28,974,73*,24.35,686,141.98,0,3,61,55
77,Andrew Symonds,39,36,9,974,117*,36.07,750,129.86,1,5,74,41
78,Moises Henriques,57,50,16,969,74*,28.50,756,128.17,0,5,87,27
79,Cameron White,47,45,9,954,78,26.50,755,126.35,0,6,76,36
80,Shubman Gill,41,38,10,939,76,33.53,750,125.20,0,7,87,24
81,Ben Stokes,42,41,6,920,107*,26.28,681,135.09,2,2,79,32
82,Axar Patel,97,72,22,913,44,18.26,715,127.69,0,0,53,43
83,Sunil Narine,120,66,13,892,75,16.83,543,164.27,0,4,103,52
84,Herschelle Gibbs,36,36,4,886,69*,27.68,807,109.78,0,6,83,31
85,Stuart Binny,95,68,23,880,48*,19.55,683,128.84,0,0,66,35
86,Harbhajan Singh,160,88,35,829,64,15.64,600,138.16,0,1,79,42
87,Prithvi Shaw,38,38,0,826,99,21.73,591,139.76,0,6,99,27
88,Marcus Stoinis,46,42,13,825,65,28.44,601,137.27,0,4,65,34
89,Manvinder Bisla,39,39,1,798,92,21.00,702,113.67,0,4,93,23
90,Jonny Bairstow,21,21,2,790,114,41.57,555,142.34,1,5,79,31
91,Sanath Jayasuriya,30,30,2,772,114*,27.57,532,145.11,1,4,85,39
92,Shakib Al Hasan,63,46,11,746,66*,21.31,589,126.65,0,2,70,20
93,Graeme Smith,29,29,3,739,91,28.42,668,110.62,0,4,94,9
94,Angelo Mathews,49,42,11,724,65*,23.35,575,125.91,0,1,44,29
95,Tirumalasetti Suman,43,40,8,676,78*,21.12,575,117.56,0,2,55,26
96,Abhishek Nayar,60,50,12,672,45*,17.68,577,116.46,0,0,55,20
97,George Bailey,40,37,10,663,61*,24.55,544,121.87,0,2,59,19
98,Vijay Shankar,40,34,12,654,63*,29.72,512,127.73,0,3,44,25
99,Deepak Hooda,68,50,13,625,62*,16.89,483,129.39,0,2,32,29
100,Jesse Ryder,29,29,1,604,86,21.57,458,131.87,0,4,69,19
